num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,release,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate
335,1188,0.02123514165698454,0.2711681214717511,6,129,0.6179104477611941,7.092537313432836,0.04416170713393093,0.7514297200864366,0.0,3.5.0,0.17902621722846443,207,0,-0.02625501582333042,0.08730650117451955,0.6179104477611941
443,1378,0.014075156021776657,0.24629390050367694,7,194,0.5643340857787811,6.221218961625282,0.039399654666803195,0.7826912429110138,0.0,3.2.0,0.6993377483443709,108,0,-0.007159985635207882,0.03126152282457717,0.24379232505643342
415,1331,0.015493859495954833,0.2436870444266039,7,179,0.5710843373493976,6.414457831325302,0.04616802411920253,0.7762892290423904,0.0,3.3.0,0.8453678474114441,0,28,0.0014187034741781762,-0.00640201386862338,0.0
460,1393,0.013195036468693758,0.23531891522533116,7,208,0.55,6.056521739130435,0.04395999574064871,0.7884141202908954,0.0,3.4.0,0.8111702127659575,45,0,-0.0022988230272610755,0.012124891248505021,0.09782608695652174
226,865,0.034021632251720745,0.31793277299021605,7,78,0.6504424778761062,7.654867256637168,0.06456989149197634,0.7144304056473478,0.0,3.8.0,0.410368519675203,0,234,0.020826595783026987,-0.07398371464354758,0.0
203,827,0.040335560649661026,0.3299968543385166,6,66,0.6798029556650246,8.147783251231527,0.1041177617398905,0.6934733531489565,0.0,3.7.2,0.6588235294117647,4,27,0.006313928397940281,-0.020957052498391304,0.019704433497536946
169,744,0.052409129332206254,0.35411879891743153,6,46,0.7337278106508875,8.804733727810651,0.07994969665641578,0.6341222879684418,0.0,3.9.0,0.4230072463768116,10,44,0.012073568682545228,-0.059351065180514695,0.05917159763313609
531,1748,0.012422271968162597,0.2472909664097181,6,233,0.5630885122410546,6.583804143126177,0.03425761498687296,0.793153973117515,0.0,3.0.0,0.23672456575682382,362,0,-0.03998685736404366,0.15903168514907318,0.6817325800376648
320,1279,0.025058777429467084,0.28245841358538526,6,116,0.640625,7.99375,0.05313406393841038,0.7427726739640343,0.0,3.4.2,0.5443877551020408,4,215,0.012636505461304487,-0.05038129915348066,0.0125
321,1287,0.02505841121495327,0.2868477212421647,6,117,0.6386292834890965,8.018691588785046,0.05816640440738778,0.7422705366630602,0.0,3.5.1,0.9454131918119788,1,0,-3.6621451381460557e-07,-0.0005021373009741481,0.003115264797507788
546,1931,0.012978458850018483,0.25688474066861405,6,233,0.575091575091575,7.073260073260073,0.05219520367023217,0.7932774113509484,0.0,3.1.0,0.5243960208432022,225,0,-0.012079952364934787,0.051006874687888226,0.41208791208791207
