release,start_date,end_date,duration_days,weighted_velocity,velocity_change_pct,is_degraded,issue_count,bugs,improvements,new_features,tasks,velocity_per_day,prev_weighted_velocity,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit,num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate,commits_per_day,churn_per_developer,edges_per_node,num_issues,earliest_issue_created,velocity_change
1.0.2,2017-12-14 17:52:13+00:00,2018-06-28 04:25:51+00:00,195.44002314814816,35.25,0.0,0,27,21,3,0,2,0.18036223815466737,35.25,727,217604,0.8043198215746044,0.6542506793706175,0.36176066024759285,73,299.3177441540578,2036.3138183794995,164.0,7.039889958734525,151,240,0.02119205298013245,0.2881665596663649,6,58,0.6225165562913907,3.1788079470198674,0.1586261684650095,0.7040011037527594,0.0,0.7490909090909091,2,3,0.00019170442662948609,0.006114010500957612,0.013245033112582781,3.719811266338813,1326.8536585365853,1.5894039735099337,27,2017-09-29 19:27:04+00:00,0.0
0.10.1.2,2017-01-05 11:09:28+00:00,2018-10-05 03:37:50+00:00,637.6863657407407,11.25,-68.08510638297872,1,9,8,1,0,0,0.017641901417998682,35.25,2488,704340,0.7871446183866733,0.7764084172073289,0.34766881028938906,249,283.09485530546624,1921.4781457796846,338.0,7.64911575562701,298,718,0.016224888708110185,0.3193083608619993,5,95,0.6812080536912751,4.818791946308725,0.1214374319619076,0.7382129704062366,0.0,0.2588699080157687,147,0,-0.004967164272022265,0.034211866653477196,0.49328859060402686,3.901604509153842,2083.846153846154,2.4093959731543624,9,2016-12-12 16:30:22+00:00,-24.0
0.9.0.2,2016-02-16 19:41:43+00:00,2018-10-05 03:37:50+00:00,961.3306365740741,10.5,-6.666666666666667,0,10,9,1,0,0,0.010922360736800397,11.25,3499,890049,0.7937883877535257,0.7875275468732883,0.354101171763361,349,254.372392112032,1758.2695891812427,467.0,7.03972563589597,407,951,0.011510390820735648,0.310679140136438,6,129,0.683046683046683,4.673218673218673,0.1341490469194263,0.7489284523984838,0.0,0.5910390848427073,109,0,-0.0047144978873745365,0.010715481992247256,0.2678132678132678,3.639746687434723,1905.8865096359743,2.3366093366093366,10,2015-03-26 19:43:52+00:00,-0.75
0.11.0.4,2018-07-27 00:59:18+00:00,2018-11-30 19:32:41+00:00,126.77318287037038,8.25,-21.428571428571427,1,7,6,1,0,0,0.06507685468807617,10.5,384,80574,0.7508835046044628,0.606983418367347,0.3723958333333333,39,209.828125,1059.25131785093,98.0,7.432291666666667,86,132,0.036114911080711354,0.23001150068895268,6,25,0.7093023255813954,3.0697674418604652,0.2226320807634385,0.6129316420014095,0.0,0.05555555555555555,19,340,0.024604520259975705,-0.13599681039707434,0.22093023255813954,3.029031781845,822.1836734693877,1.5348837209302326,7,2018-05-18 00:01:29+00:00,-2.25
0.10.0.2,2016-08-18 22:29:00+00:00,2018-11-30 19:32:41+00:00,833.8775578703704,14.5,75.75757575757575,0,15,12,3,0,0,0.017388644007918105,8.25,3060,821034,0.7905994172723472,0.7849951328048952,0.35490196078431374,306,268.31176470588235,1818.6888997244969,423.0,7.377777777777778,369,869,0.012798986685519029,0.3201715536706828,6,112,0.6991869918699187,4.710027100271002,0.1297834283312157,0.7430183277667071,0.0,0.11098779134295228,283,0,-0.023315924395192325,0.13008668576529758,0.7669376693766937,3.6696034940847864,1940.9787234042553,2.355013550135501,15,2016-08-11 23:27:23+00:00,6.25
0.11.0.1,2017-04-07 18:54:24+00:00,2019-03-30 00:30:31+00:00,721.2334143518518,63.5,337.9310344827586,0,57,46,4,0,0,0.08804361907866583,14.5,2625,683551,0.7802971516181152,0.7708587345801832,0.3535238095238095,263,260.40038095238094,1660.7163407627213,359.0,6.844190476190477,319,723,0.014254450819187319,0.2958926878373129,6,114,0.64576802507837,4.532915360501567,0.10570690984649535,0.7483361299357867,0.0,0.5531707317073171,35,85,0.00145546413366829,0.005317802169079622,0.109717868338558,3.6395984264802803,1904.041782729805,2.2664576802507836,57,2015-04-08 04:42:56+00:00,49.0
2.2.1,2019-03-07 08:12:23+00:00,2019-05-30 19:05:16+00:00,84.4533912037037,58.75,-7.480314960629922,0,47,42,4,0,0,0.6956499811629059,63.5,324,84930,0.7786737952678531,0.5752171925011431,0.345679012345679,33,262.1296296296296,1507.100979516087,81.0,6.055555555555555,72,103,0.04029733959311424,0.2561286253688214,6,25,0.6666666666666666,2.861111111111111,0.15510028424515346,0.632955771305286,0.0,0.03768844221105527,19,266,0.026042888773926923,-0.11538035863050067,0.2638888888888889,3.8364356407962807,1048.5185185185185,1.4305555555555556,47,2017-04-28 17:39:43+00:00,-4.75
0.8.1.2,2014-06-10 21:56:46+00:00,2019-06-11 16:46:49+00:00,1826.7847569444446,9.95,-83.06382978723403,1,8,6,2,0,0,0.005446728172093344,58.75,5383,1359295,0.8035695753231709,0.8032135130735298,0.3589076723016905,537,252.51625487646294,1788.704698245428,663.0,6.783949470555452,577,1372,0.00825630656653187,0.2908014802100173,6,204,0.6464471403812825,4.755632582322357,0.08925396718045712,0.7749215556487512,0.0,0.043878273177636234,505,0,-0.03204103302658237,0.14196578434346518,0.8752166377816292,2.946707311595827,2050.2187028657618,2.3778162911611784,8,2014-04-10 01:00:37+00:00,-48.8
0.10.2.3,2018-10-05 03:37:50+00:00,2019-07-31 09:26:14+00:00,299.24194444444447,3.5,-64.82412060301506,1,3,2,1,0,0,0.01169622128508054,9.95,941,220080,0.7704256031330121,0.683036588913494,0.36238044633368754,94,233.8788522848034,1221.2185237056349,179.0,6.246546227417641,155,255,0.0213657310431504,0.24551471552190776,5,64,0.5935483870967742,3.2903225806451615,0.097022436818902,0.7291081593927895,0.0,0.11133879781420765,15,437,0.013109424476618529,-0.0458133962559617,0.0967741935483871,3.144612636931654,1229.4972067039107,1.6451612903225807,3,2018-10-02 23:48:03+00:00,-6.449999999999999
2.4.1,2019-11-14 21:17:29+00:00,2020-03-09 13:38:51+00:00,115.68150462962963,47.5,1257.142857142857,0,40,37,3,0,0,0.4106101502749107,3.5,380,103541,0.7758647604127327,0.5587622903412377,0.3263157894736842,38,272.4763157894737,2020.541063437836,91.0,5.7368421052631575,79,130,0.04219409282700422,0.3273545309658489,7,22,0.6835443037974683,3.2911392405063293,0.15744330567301712,0.6112950340798442,0.0,0.0547945205479452,39,115,0.02082836178385382,-0.1178131253129453,0.4936708860759494,3.2848812021992857,1137.8131868131868,1.6455696202531647,40,2017-11-23 14:37:11+00:00,44.0
