release,num_issues,total_commits,total_churn,total_developers,avg_resolution_time,avg_development_duration,release_start,release_end,release_duration_days,issues_per_day,commits_per_day
3.2.3,5,6,467,5,7.107518518518518,0.1178425925925926,2022-07-26 12:28:11+00:00,2022-09-13 08:11:32+00:00,48.82177083333333,0.10241332738767071,0.12289599286520486
3.3.1,2,2,70,2,2.906111111111111,0.0,2022-09-23 19:29:48+00:00,2022-09-29 18:20:44+00:00,5.952037037037037,0.3360194144550574,0.3360194144550574
3.1.3,9,11,1229,10,20.956631944444446,0.21815715020576132,2022-10-20 01:21:08+00:00,2023-08-15 23:59:51+00:00,299.94355324074075,0.030005645738204675,0.03667356701336127
3.2.4,12,14,1458,13,16.708255208333334,0.163617862654321,2022-10-20 01:21:08+00:00,2023-08-15 23:59:51+00:00,299.94355324074075,0.04000752765093957,0.04667544892609616
3.0.3,8,9,1127,8,16.364991319444446,0.025622106481481482,2022-10-20 01:21:08+00:00,2023-04-25 11:54:36+00:00,187.43990740740742,0.042680345453925725,0.04801538863566644
2.8.3,2,2,231,2,7.098350694444445,0.0,2023-02-10 07:41:53+00:00,2023-04-21 00:13:13+00:00,69.68842592592593,0.02869917024852684,0.02869917024852684
3.5.1,11,12,547,12,20.041486742424244,2.2079808501683504,2023-02-14 21:34:59+00:00,2023-07-27 10:36:08+00:00,162.54246527777778,0.06767462263600772,0.07382686105746297
3.4.2,22,23,1437,23,31.3602751473064,0.07992897727272728,2023-02-27 22:19:30+00:00,2023-12-21 11:59:03+00:00,296.56913194444445,0.07418169199119888,0.07755358708170793
4.1.1,16,23,4343,18,79.84296296296296,47.874416232638886,2023-08-05 01:19:01+00:00,2025-10-20 17:54:59+00:00,807.6916435185185,0.019809540099114765,0.028476213892477474
3.5.3,1,1,293,1,5.90869212962963,0.0,2023-12-15 14:10:32+00:00,2023-12-21 11:59:03+00:00,5.90869212962963,0.16924219066778187,0.16924219066778187
3.6.3,1,1,48,1,113.80740740740741,0.0,2024-01-01 14:30:23+00:00,2024-04-24 09:53:03+00:00,113.80740740740741,0.008786774277531892,0.008786774277531892
3.7.2,18,21,3568,20,29.7741595936214,0.8635313786008231,2024-01-25 13:48:37+00:00,2024-11-25 21:03:54+00:00,305.3022800925926,0.058957961252503355,0.06878428812792058
3.8.1,12,13,866,13,5.817784529320988,0.08736014660493828,2024-06-13 22:55:49+00:00,2024-10-17 15:52:08+00:00,125.70577546296296,0.09546100770473823,0.10341609168013308
3.9.2,25,30,3004,27,49.40395046296297,6.232666203703704,2024-07-03 18:22:25+00:00,2026-01-14 10:11:19+00:00,559.6589583333333,0.04467006134316174,0.05360407361179409
4.0.2,33,36,4868,34,40.375532407407405,1.0558975168350169,2024-12-05 19:45:31+00:00,2026-01-14 10:11:19+00:00,404.60125,0.08156178459656267,0.08897649228715927
3.7.3,4,5,40,4,4.236313657407408,0.5994415509259259,2024-12-16 19:31:46+00:00,2024-12-28 17:21:37+00:00,11.909618055555555,0.3358629958862614,0.4198287448578268
4.1.2,23,25,2910,24,36.81386322463768,0.9104176731078905,2025-03-19 12:53:13+00:00,2026-01-14 10:11:19+00:00,300.88756944444447,0.07644051245608767,0.08308751353922572
